Rank,Name,Platform,Year,Genre,Publisher,Global_Sales
259,Asteroids,"2600,PS",1980,Shooter,Atari,5.46
2671,Boxing,"2600,PS",1980,Fighting,Activision,0.84
6319,Bridge,2600,1980,Misc,Activision,0.27
6898,Checkers,2600,1980,Misc,Atari,0.24
1971,Defender,"2600,PS2,GC,XB",1980,Misc,Atari,1.65
5368,Freeway,2600,1980,Action,Activision,0.34
1768,Kaboom!,2600,1980,Misc,Activision,1.15
545,Missile Command,"2600,PS",1980,Shooter,Atari,3.21
3046,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.67
2666,Air Raid,2600,1981,Action,Men-A-Vision,0.77
4969,Airlock,2600,1981,Action,Data Age,0.39
2598,Alien,2600,1981,Action,20th Century Fox Video Games,0.79
8461,Armor Ambush,2600,1981,Action,Mattel Interactive,0.17
5802,Astroblast,2600,1981,Action,Mattel Interactive,0.31
1558,Atlantis,2600,1981,Shooter,Imagic,1.27
4519,Barnstorming,2600,1981,Action,Activision,0.43
2808,Berzerk,2600,1981,Shooter,Atari,0.73
3405,BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.59
5402,Carnival,2600,1981,Shooter,Coleco,0.34
1431,Centipede,"2600,PS",1981,Shooter,Atari,2.01
1967,Cosmic Ark,2600,1981,Shooter,Imagic,1.05
7186,Crazy Climber,2600,1981,Action,Atari,0.22
2518,Custer's Revenge,2600,1981,Action,Mystique,0.82
6942,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.24
7150,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.22
768,Demon Attack,2600,1981,Shooter,Imagic,2.13
2145,Donkey Kong Junior,2600,1981,Platform,Atari,0.97
5129,Dragonfire,2600,1981,Action,Imagic,0.37
866,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.97
5391,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.34
6023,Fast Food,2600,1981,Action,Unknown,0.29
5566,Fireball,2600,1981,Action,Starpath Corp.,0.33
5248,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.36
6868,Front Line,2600,1981,Action,Taito,0.24
4141,Grand Prix,2600,1981,Racing,Activision,0.48
7906,International Soccer,2600,1981,Sports,Mattel Interactive,0.19
4404,Jawbreaker,2600,1981,Action,Tigervision,0.45
2942,King Kong,2600,1981,Action,Tigervision,0.69
4910,Laser Blast,2600,1981,Action,Activision,0.39
1850,Megamania,2600,1981,Shooter,Activision,1.1
4786,Mouse Trap,2600,1981,Action,Coleco,0.4
1108,Ms. Pac-Man,2600,1981,Puzzle,Atari,1.65
4348,Phoenix,2600,1981,Simulation,Atari,0.45
240,Pitfall!,2600,1981,Platform,Activision,4.5
4017,Raiders of the Lost Ark,2600,1981,Action,Atari,0.5
7152,Reactor,2600,1981,Action,Parker Bros.,0.22
7373,RealSports Baseball,2600,1981,Sports,Atari,0.21
6539,RealSports Football,2600,1981,Sports,Atari,0.26
9497,RealSports Volleyball,2600,1981,Sports,Atari,0.13
1155,River Raid,2600,1981,Shooter,Activision,1.6
3410,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.59
3718,Action Force,2600,1982,Action,CPG Products,0.54
5383,Alien's Return,2600,1982,Action,ITT Family Games,0.34
7151,Assault,2600,1982,Action,Bomb,0.22
5397,Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.34
3250,Battlezone,"2600,PSP",1982,Shooter,Atari,0.65
4896,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.39
3968,Chopper Command,2600,1982,Shooter,Activision,0.5
4803,Congo Bongo,2600,1982,Action,Sega,0.4
8460,Death Trap,2600,1982,Action,Avalon Interactive,0.17
1117,Dig Dug,"2600,NES",1982,Puzzle,Atari,2.05
2408,Enduro,2600,1982,Misc,Quelle,0.87
5660,Frankenstein's Monster,2600,1982,Action,Data Age,0.32
2662,Galaxian,2600,1982,Shooter,Atari,0.77
4018,Gauntlet,2600,1982,Action,Answer Software,0.5
5066,Gravitar,2600,1982,Action,Atari,0.38
3268,Halloween,2600,1982,Action,Wizard Video Games,0.62
1907,Joust,2600,1982,Platform,Atari,1.08
1853,Jungle Hunt,2600,1982,Platform,Atari,1.1
2845,Kangaroo,2600,1982,Platform,Atari,0.72
3081,Keystone Kapers,2600,1982,Action,Activision,0.66
9108,Krull,2600,1982,Action,Atari,0.14
1819,Moon Patrol,2600,1982,Shooter,Atari,1.12
5775,Mountain King,2600,1982,Action,CBS Electronics,0.31
6267,Mr. Do!,2600,1982,Action,Coleco,0.27
90,Pac-Man,"2600,NES",1982,Puzzle,Atari,9.03
6147,Polaris,2600,1982,Action,Tigervision,0.28
1707,Pole Position,2600,1982,Racing,Atari,1.18
6730,Porky's,2600,1982,Action,20th Century Fox Video Games,0.25
8760,Pressure Cooker,2600,1982,Action,Activision,0.15
4015,RealSports Tennis,2600,1982,Sports,Atari,0.5
3645,The Activision Decathlon,2600,1982,Sports,Activision,0.55
3217,X-Man,2600,1982,Action,Universal Gamex,0.63
2631,Yars' Revenge,2600,1982,Shooter,Atari,0.78
422,Baseball,"NES,GB",1983,Sports,Nintendo,4.81
2674,Crystal Castles,2600,1983,Action,Atari,0.77
6009,Dolphin,2600,1983,Action,Activision,0.29
1841,Donkey Kong Jr.,NES,1983,Platform,Nintendo,1.11
5561,Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.33
5384,Frostbite,2600,1983,Action,Activision,0.34
4269,Gremlins,2600,1983,Action,Atari,0.46
2654,Jr. Pac-Man,2600,1983,Puzzle,Atari,0.78
765,Mahjong,NES,1983,Misc,Nintendo,2.14
702,Mario Bros.,"NES,2600",1983,Platform,Nintendo,3.87
3955,Midnight Magic,2600,1983,Action,Atari,0.5
4098,Millipede,2600,1983,Shooter,Atari,0.48
8459,Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.17
4782,Pengo,2600,1983,Adventure,Atari,0.4
1510,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.31
1863,Popeye,"NES,2600",1983,Platform,Nintendo,1.64
1326,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,1.45
6298,Beamrider,2600,1984,Racing,Activision,0.27
2515,Clu Clu Land,NES,1984,Puzzle,Nintendo,0.82
10,Duck Hunt,NES,1984,Shooter,Nintendo,28.31
278,Excitebike,NES,1984,Racing,Nintendo,4.16
1235,F1 Race,NES,1984,Racing,Nintendo,1.52
299,Golf,"NES,GB",1984,Sports,Nintendo,6.13
1562,Hogan's Alley,NES,1984,Shooter,Nintendo,1.27
1859,Lode Runner,"NES,DS",1984,Puzzle,Hudson Soft,1.12
2957,Mappy,NES,1984,Platform,Namco Bandai Games,0.69
940,Pinball,NES,1984,Action,Nintendo,1.85
756,Tennis,"NES,GB",1984,Sports,Nintendo,4.16
1236,Xevious,NES,1984,Shooter,Namco Bandai Games,1.52
2061,1942,NES,1985,Shooter,Capcom,1
14338,Alter Ego,PC,1985,Simulation,Activision,0.03
2261,Balloon Fight,NES,1985,Platform,Nintendo,0.92
2022,Bomberman,"NES,DS,PSP,Wii",1985,Puzzle,Hudson Soft,1.35
4339,Ghostbusters,2600,1985,Puzzle,Activision,0.45
1492,Gyromite,NES,1985,Puzzle,Nintendo,1.32
1262,Ice Climber,NES,1985,Platform,Nintendo,1.5
375,Kung Fu,NES,1985,Action,Nintendo,3.5
870,Soccer,NES,1985,Sports,Nintendo,1.96
15870,Strongest Tokyo University Shogi DS,DS,1985,Action,Mycom,0.02
2,Super Mario Bros.,"NES,GB",1985,Platform,Nintendo,45.31
1975,Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,1.05
3909,Wrecking Crew,NES,1985,Platform,Nintendo,0.51
1973,Adventure Island,NES,1986,Platform,Hudson Soft,1.05
1625,Castlevania,"NES,N64",1986,Platform,Konami Digital Entertainment,1.87
1793,Commando,"NES,2600",1986,Action,Capcom,1.61
1774,Doraemon,NES,1986,Action,Hudson Soft,1.15
612,Dragon Warrior,NES,1986,Role-Playing,Capcom,2.52
1678,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,1.2
1119,Ghosts 'n Goblins,NES,1986,Action,Capcom,1.64
1429,Gradius,NES,1986,Shooter,Konami Digital Entertainment,1.36
994,Kid Icarus,NES,1986,Platform,Nintendo,1.76
549,Metroid,NES,1986,Action,Nintendo,2.73
1264,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,1.5
739,Pro Yakyuu Family Stadium,"NES,Wii",1986,Sports,Namco Bandai Games,2.23
869,Rad Racer,NES,1986,Racing,Nintendo,1.96
5958,RealSports Boxing,2600,1986,Sports,Atari,0.29
5084,Solaris,2600,1986,Shooter,Atari,0.37
2160,Star Soldier,NES,1986,Shooter,Hudson Soft,0.96
574,Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,2.65
128,The Legend of Zelda,NES,1986,Action,Nintendo,6.51
3534,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.57
1677,TwinBee,NES,1986,Shooter,Konami Digital Entertainment,1.2
453,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,3.08
2236,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.93
4395,Defender II,2600,1987,Shooter,Atari,0.45
6585,Desert Falcon,2600,1987,Shooter,Atari,0.26
603,Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,2.56
2468,Final Fantasy,"NES,WS",1987,Role-Playing,SquareSoft,1.35
1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,1.25
3120,Kung-Fu Master,2600,1987,Action,Activision,0.65
2549,Mega Man,NES,1987,Platform,Capcom,0.81
466,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,3.02
648,Pro Wrestling,NES,1987,Fighting,Nintendo,2.4
1363,Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,1.42
11751,Super Baseball,2600,1987,Sports,Atari,0.07
11718,Super Football,2600,1987,Sports,Atari,0.08
761,Volleyball,NES,1987,Sports,Nintendo,2.15
252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,4.38
1189,Donkey Kong Classics,NES,1988,Platform,Nintendo,1.56
1589,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,1.25
313,Dragon Warrior III,"NES,GB",1988,Role-Playing,Enix Corporation,4.68
639,Ice Hockey,"NES,2600",1988,Sports,Nintendo,2.91
1248,Mega Man 2,NES,1988,Action,Capcom,1.51
1710,Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,1.18
766,R.C. Pro-Am,NES,1988,Racing,Nintendo,2.14
6941,Rampage,2600,1988,Action,Activision,0.24
3942,River Raid II,2600,1988,Shooter,Activision,0.51
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,7.46
23,Super Mario Bros. 3,"NES,GBA",1988,Platform,Nintendo,22.48
12638,Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06
882,Alleyway,GB,1989,Puzzle,Nintendo,1.94
2441,Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.85
1091,Disney's DuckTales,"NES,GB",1989,Platform,Capcom,3.1
4149,Double Dragon,2600,1989,Action,Activision,0.47
171,Dr. Mario,"GB,NES",1989,Puzzle,Nintendo,10.19
1861,Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,1.1
8759,Klax,2600,1989,Puzzle,Atari,0.15
1680,SolarStriker,GB,1989,Shooter,Nintendo,1.2
22,Super Mario Land,GB,1989,Platform,Nintendo,18.14
277,Teenage Mutant Ninja Turtles,"NES,GBA,PS2,GC,XB,Wii",1989,Action,Palcom,6.67
6,Tetris,"GB,NES",1989,Puzzle,Nintendo,35.84
1860,The Final Fantasy Legend,GB,1989,Role-Playing,SquareSoft,1.1
1544,Yakuman,GB,1989,Misc,Nintendo,1.28
1697,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,1.19
447,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,3.12
5495,Extra Bases,GB,1990,Sports,Namco Bandai Games,0.33
392,F-1 Race,GB,1990,Racing,Nintendo,3.41
510,F-Zero,SNES,1990,Racing,Nintendo,2.85
5864,Famista '91,NES,1990,Sports,Namco Bandai Games,0.3
1192,Final Fight,SNES,1990,Action,Capcom,1.56
1728,Mega Man 3,NES,1990,Platform,Capcom,1.17
1280,Nintendo World Cup,NES,1990,Sports,Nintendo,1.48
1794,Pilotwings,SNES,1990,Simulation,Nintendo,1.14
1772,Qix,GB,1990,Puzzle,Nintendo,1.15
589,Streets of Rage,GEN,1990,Action,Sega,2.6
19,Super Mario World,"SNES,GBA",1990,Platform,Nintendo,26.07
724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,2.23
8087,Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0.18
5519,Battle Dodge Ball,SNES,1991,Sports,Banpresto,0.33
4453,Bomberman II,NES,1991,Puzzle,Hudson Soft,0.44
11332,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,Epoch,0.08
6163,Famista '92,NES,1991,Sports,Namco Bandai Games,0.28
5035,Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,0.38
985,Final Fantasy II,"SNES,NES,WS",1991,Role-Playing,Square,2.78
2729,Final Fantasy Legend III,GB,1991,Role-Playing,SquareSoft,0.76
8039,GameBoy Wars,GB,1991,Strategy,Nintendo,0.18
11982,John Madden Football,SNES,1991,Sports,Imagineer,0.07
5543,Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games,0.33
13020,Lagoon,SNES,1991,Role-Playing,Kemco,0.05
6167,Lord of Darkness,SNES,1991,Action,Tecmo Koei,0.28
2235,Mega Man 4,NES,1991,Platform,Capcom,0.93
6166,Mega Man II,GB,1991,Platform,Nintendo,0.28
6157,Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0.28
989,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,1.76
2063,NES Open Tournament Golf,NES,1991,Sports,Nintendo,1
6625,Romance of the Three Kingdoms II,"SNES,3DS",1991,Strategy,Tecmo Koei,0.28
